depart,depart,depart,arrivee,arrivee,arrivee,duree (min),distance (km)
nom,latitude,longitude,nom,latitude,longitude,,
Strasbourg,48.57418,7.75427,Metz (central bus station),49.11016,6.18377,125,165.2861
Metz (central bus station),49.11016,6.18377,Reims Champagne Ardenne TGV,49.21516,3.99451,145,195.2279
Reims Champagne Ardenne TGV,49.21516,3.99451,Paris (Bercy Seine),48.83532,2.38052,120,143.9124
Paris (Bercy Seine),48.83532,2.38052,Paris - Massy-Palaiseau (Bus station Vilmorin),48.72606,2.25714,50,23.0716
Paris - Massy-Palaiseau (Bus station Vilmorin),48.72606,2.25714,Orléans (Libération),47.91953,1.90349,85,109.7878
Orléans (Libération),47.91953,1.90349,Tours (Parking les Peupliers),47.38338,0.70235,90,121.8949
Tours (Parking les Peupliers),47.38338,0.70235,Angers (central bus station),47.46502,-0.55917,100,128.9503
Angers (central bus station),47.46502,-0.55917,Nantes Haluchère,47.24893,-1.52081,65,82.9569
Nantes Haluchère,47.24893,-1.52081,Rennes (Central bus station),48.1039,-1.67062,90,107.4511
Rennes (Central bus station),48.1039,-1.67062,Nantes Haluchère,47.24893,-1.52081,90,107.8647
Nantes Haluchère,47.24893,-1.52081,Angers (central bus station),47.46502,-0.55917,65,86.5924
Angers (central bus station),47.46502,-0.55917,Tours (Parking les Peupliers),47.38338,0.70235,100,127.8286
Tours (Parking les Peupliers),47.38338,0.70235,Orléans (Libération),47.91953,1.90349,90,121.4556
Orléans (Libération),47.91953,1.90349,Paris - Massy-Palaiseau (Bus station Vilmorin),48.72606,2.25714,85,110.3318
Paris - Massy-Palaiseau (Bus station Vilmorin),48.72606,2.25714,Paris (Bercy Seine),48.83532,2.38052,50,21.4011
Paris (Bercy Seine),48.83532,2.38052,Reims Champagne Ardenne TGV,49.21516,3.99451,110,145.1097
Reims Champagne Ardenne TGV,49.21516,3.99451,Metz (central bus station),49.11016,6.18377,140,193.0424
Metz (central bus station),49.11016,6.18377,Strasbourg,48.57418,7.75427,120,165.6578
Nice Airport (Bus Station - Terminal 1),43.66482,7.20959,Cannes (Le Cannet),43.5707,7.01485,40,25.3214
Cannes (Le Cannet),43.5707,7.01485,Fréjus (Péage Ouest),43.45631,6.68948,30,39.6945
Fréjus (Péage Ouest),43.45631,6.68948,Marseille (central bus station St Charles),43.30408,5.37999,95,133.3181
Marseille (central bus station St Charles),43.30408,5.37999,Lyon Perrache (Central Bus Station),45.74875,4.82602,240,312.6714
Lyon Perrache (Central Bus Station),45.74875,4.82602,Paris (Orly Airport),48.73156,2.37358,325,448.7736
Paris (Orly Airport),48.73156,2.37358,Paris (Bercy Seine),48.83532,2.38052,40,15.0458
Paris (Bercy Seine),48.83532,2.38052,Paris (Orly Airport),48.73156,2.37358,30,16.5344
Paris (Orly Airport),48.73156,2.37358,Lyon Perrache (Central Bus Station),45.74875,4.82602,325,447.7469
Lyon Perrache (Central Bus Station),45.74875,4.82602,Marseille (central bus station St Charles),43.30408,5.37999,230,312.8275
Marseille (central bus station St Charles),43.30408,5.37999,Fréjus (Péage Ouest),43.45631,6.68948,95,134.0648
Fréjus (Péage Ouest),43.45631,6.68948,Cannes (Le Cannet),43.5707,7.01485,50,38.3362
Cannes (Le Cannet),43.5707,7.01485,Nice Airport (Bus Station - Terminal 1),43.66482,7.20959,45,24.0082
Metz (central bus station),49.11016,6.18377,Reims Champagne Ardenne TGV,49.21516,3.99451,140,195.2279
Reims Champagne Ardenne TGV,49.21516,3.99451,Paris (Bercy Seine),48.83532,2.38052,110,143.9124
Paris (Bercy Seine),48.83532,2.38052,Reims Champagne Ardenne TGV,49.21516,3.99451,105,145.1097
Reims Champagne Ardenne TGV,49.21516,3.99451,Metz (central bus station),49.11016,6.18377,140,193.0424
Reims Champagne Ardenne TGV,49.21516,3.99451,Paris (Bercy Seine),48.83532,2.38052,105,143.9124
Paris (Bercy Seine),48.83532,2.38052,Reims Champagne Ardenne TGV,49.21516,3.99451,110,145.1097
Annecy (Central Bus Station),45.90166,6.12032,Aix-les-Bains (Centre Commercial),45.65674,5.91252,30,274.023
Aix-les-Bains (Centre Commercial),45.65674,5.91252,Lyon Perrache (Central Bus Station),45.74875,4.82602,95,102.5152
Lyon Perrache (Central Bus Station),45.74875,4.82602,Aix-les-Bains (Centre Commercial),45.65674,5.91252,90,101.762
Aix-les-Bains (Centre Commercial),45.65674,5.91252,Annecy (Central Bus Station),45.90166,6.12032,30,37.3625
Annecy (Central Bus Station),45.90166,6.12032,Chambéry (Central Bus Station),45.56998,5.91742,45,0.0
Chambéry (Central Bus Station),45.56998,5.91742,Annecy (Central Bus Station),45.90166,6.12032,45,48.8452
Lyon Perrache (Central Bus Station),45.74875,4.82602,Clermont-Ferrand (bus terminal Les Salins),45.77076,3.08225,125,166.3595
Clermont-Ferrand (bus terminal Les Salins),45.77076,3.08225,Ussel,45.51243,2.25747,125,90.3759
Ussel,45.51243,2.25747,Tulle (Péage Nord),45.32849,1.76515,40,52.0752
Tulle (Péage Nord),45.32849,1.76515,Brive-la-Gaillarde (Centre Commercial Ouest),45.14592,1.48255,30,40.0131
Brive-la-Gaillarde (Centre Commercial Ouest),45.14592,1.48255,Montauban (Aussone),44.04471,1.38971,95,139.7394
Montauban (Aussone),44.04471,1.38971,Toulouse (Central Bus Station Pierre Sémard),43.61252,1.45261,55,57.7658
Toulouse (Central Bus Station Pierre Sémard),43.61252,1.45261,Montauban (Aussone),44.04471,1.38971,55,58.8939
Montauban (Aussone),44.04471,1.38971,Brive-la-Gaillarde (Centre Commercial Ouest),45.14592,1.48255,95,139.7699
Brive-la-Gaillarde (Centre Commercial Ouest),45.14592,1.48255,Tulle (Péage Nord),45.32849,1.76515,30,56.3608
Tulle (Péage Nord),45.32849,1.76515,Ussel,45.51243,2.25747,40,52.8332
Ussel,45.51243,2.25747,Clermont-Ferrand (bus terminal Les Salins),45.77076,3.08225,125,90.0911
Clermont-Ferrand (bus terminal Les Salins),45.77076,3.08225,Lyon Perrache (Central Bus Station),45.74875,4.82602,125,165.9137
Paris Charles de Gaulle (Central Bus Station - Terminal 3),49.01067,2.55926,Paris (Bercy Seine),48.83532,2.38052,35,29.7487
Calais (Bus Stop on Terminal Ferry),50.96679,1.86345,Paris (Bercy Seine),48.83532,2.38052,230,291.7998
Paris (Bercy Seine),48.83532,2.38052,Lyon Perrache (Central Bus Station),45.74875,4.82602,350,461.1157
Lyon Perrache (Central Bus Station),45.74875,4.82602,Chambéry (Central Bus Station),45.56998,5.91742,85,98.8057
Chambéry (Central Bus Station),45.56998,5.91742,Lyon Perrache (Central Bus Station),45.74875,4.82602,90,101.4257
Lyon Perrache (Central Bus Station),45.74875,4.82602,Paris (Bercy Seine),48.83532,2.38052,340,461.5035
Paris (Bercy Seine),48.83532,2.38052,Tours (Parking les Peupliers),47.38338,0.70235,180,237.1192
Tours (Parking les Peupliers),47.38338,0.70235,Poitiers (Central bus station),46.58451,0.33563,85,103.0882
Poitiers (Central bus station),46.58451,0.33563,Saintes,45.75549,-0.65154,110,138.2764
Saintes,45.75549,-0.65154,Bordeaux Saint-Jean,44.82982,-0.55521,85,117.9778
Bordeaux Saint-Jean,44.82982,-0.55521,Saintes,45.75549,-0.65154,85,121.3944
Saintes,45.75549,-0.65154,Poitiers (Central bus station),46.58451,0.33563,110,137.9482
Poitiers (Central bus station),46.58451,0.33563,Tours (Parking les Peupliers),47.38338,0.70235,85,103.5468
Tours (Parking les Peupliers),47.38338,0.70235,Paris (Bercy Seine),48.83532,2.38052,180,236.6605
Toulouse (Central Bus Station Pierre Sémard),43.61252,1.45261,Montauban (Aussone),44.04471,1.38971,55,58.8939
Montauban (Aussone),44.04471,1.38971,Limoges (central bus station),45.8359,1.26835,155,232.481
Limoges (central bus station),45.8359,1.26835,Orléans (Libération),47.91953,1.90349,190,270.2797
Orléans (Libération),47.91953,1.90349,Paris - Massy-Palaiseau (Bus station Vilmorin),48.72606,2.25714,85,110.3318
Paris - Massy-Palaiseau (Bus station Vilmorin),48.72606,2.25714,Paris (Bercy Seine),48.83532,2.38052,30,21.4011
Paris (Bercy Seine),48.83532,2.38052,Paris - Massy-Palaiseau (Bus station Vilmorin),48.72606,2.25714,30,23.0716
Paris - Massy-Palaiseau (Bus station Vilmorin),48.72606,2.25714,Orléans (Libération),47.91953,1.90349,80,109.7878
Orléans (Libération),47.91953,1.90349,Limoges (central bus station),45.8359,1.26835,195,269.3543
Limoges (central bus station),45.8359,1.26835,Montauban (Aussone),44.04471,1.38971,155,231.9097
Montauban (Aussone),44.04471,1.38971,Toulouse (Central Bus Station Pierre Sémard),43.61252,1.45261,55,57.7658
Toulouse (Blagnac Airport),43.63044,1.3745,Toulouse (Central Bus Station Pierre Sémard),43.61252,1.45261,20,4.5062
Toulouse (Central Bus Station Pierre Sémard),43.61252,1.45261,Cahors,44.45141,1.43959,85,113.5569
Cahors,44.45141,1.43959,Brive-la-Gaillarde (Centre Commercial Ouest),45.14592,1.48255,71,94.3591
Brive-la-Gaillarde (Centre Commercial Ouest),45.14592,1.48255,Limoges (central bus station),45.8359,1.26835,75,93.7926
Limoges (central bus station),45.8359,1.26835,Paris (Orly Airport),48.73156,2.37358,285,384.9905
Paris (Orly Airport),48.73156,2.37358,Paris (Bercy Seine),48.83532,2.38052,35,15.0458
Paris (Bercy Seine),48.83532,2.38052,Paris Charles de Gaulle (Central Bus Station - Terminal 3),49.01067,2.55926,50,30.2235
Paris Charles de Gaulle (Central Bus Station - Terminal 3),49.01067,2.55926,Paris (Bercy Seine),48.83532,2.38052,40,29.7487
Paris (Bercy Seine),48.83532,2.38052,Paris (Orly Airport),48.73156,2.37358,30,16.5344
Paris (Orly Airport),48.73156,2.37358,Limoges (central bus station),45.8359,1.26835,275,382.7921
Limoges (central bus station),45.8359,1.26835,Brive-la-Gaillarde (Centre Commercial Ouest),45.14592,1.48255,70,93.3387
Brive-la-Gaillarde (Centre Commercial Ouest),45.14592,1.48255,Cahors,44.45141,1.43959,75,94.425
Cahors,44.45141,1.43959,Toulouse (Central Bus Station Pierre Sémard),43.61252,1.45261,85,113.0532
Toulouse (Central Bus Station Pierre Sémard),43.61252,1.45261,Toulouse (Blagnac Airport),43.63044,1.3745,20,10.1453
Strasbourg,48.57418,7.75427,Metz (central bus station),49.11016,6.18377,110,165.2861
Metz (central bus station),49.11016,6.18377,Reims Champagne Ardenne TGV,49.21516,3.99451,130,195.2279
Reims Champagne Ardenne TGV,49.21516,3.99451,Paris (Gallieni),48.8656,2.41457,240,145.5732
Paris (Gallieni),48.8656,2.41457,Reims Champagne Ardenne TGV,49.21516,3.99451,115,146.1992
Reims Champagne Ardenne TGV,49.21516,3.99451,Metz (central bus station),49.11016,6.18377,155,193.0424
Metz (central bus station),49.11016,6.18377,Strasbourg,48.57418,7.75427,150,165.6578
Rennes (Central bus station),48.1039,-1.67062,Nantes Haluchère,47.24893,-1.52081,90,107.8647
Nantes Haluchère,47.24893,-1.52081,La Rochelle (Bus Station),46.16225,-1.15415,120,145.924
La Rochelle (Bus Station),46.16225,-1.15415,Bordeaux Saint-Jean,44.82982,-0.55521,150,188.1017
Bordeaux Saint-Jean,44.82982,-0.55521,Bayonne (Quai de Lesseps),43.49639,-1.47402,140,189.3088
Bayonne (Quai de Lesseps),43.49639,-1.47402,Bordeaux Saint-Jean,44.82982,-0.55521,140,189.3393
Bordeaux Saint-Jean,44.82982,-0.55521,La Rochelle (Bus Station),46.16225,-1.15415,135,191.7662
La Rochelle (Bus Station),46.16225,-1.15415,Nantes Haluchère,47.24893,-1.52081,120,143.0176
Nantes Haluchère,47.24893,-1.52081,Rennes (Central bus station),48.1039,-1.67062,90,107.4511
Bayonne (Quai de Lesseps),43.49639,-1.47402,Bordeaux Saint-Jean,44.82982,-0.55521,140,189.3393
Bordeaux Saint-Jean,44.82982,-0.55521,La Rochelle (Bus Station),46.16225,-1.15415,135,191.7662
La Rochelle (Bus Station),46.16225,-1.15415,Nantes Haluchère,47.24893,-1.52081,120,143.0176
Nantes Haluchère,47.24893,-1.52081,Rennes (Central bus station),48.1039,-1.67062,90,107.4511
Rennes (Central bus station),48.1039,-1.67062,Nantes Haluchère,47.24893,-1.52081,90,107.8647
Nantes Haluchère,47.24893,-1.52081,La Rochelle (Bus Station),46.16225,-1.15415,120,145.924
La Rochelle (Bus Station),46.16225,-1.15415,Bordeaux Saint-Jean,44.82982,-0.55521,150,188.1017
Bordeaux Saint-Jean,44.82982,-0.55521,Bayonne (Quai de Lesseps),43.49639,-1.47402,140,189.3088
Paris (Bercy Seine),48.83532,2.38052,Paris Charles de Gaulle (Central Bus Station - Terminal 3),49.01067,2.55926,50,30.2235
Paris Charles de Gaulle (Central Bus Station - Terminal 3),49.01067,2.55926,Lille,50.6392,3.0762,145,198.4901
Lille,50.6392,3.0762,Paris Charles de Gaulle (Central Bus Station - Terminal 3),49.01067,2.55926,135,197.8415
Paris Charles de Gaulle (Central Bus Station - Terminal 3),49.01067,2.55926,Paris (Bercy Seine),48.83532,2.38052,60,29.7487
Dijon (Université),47.30928,5.07161,Beaune (Péage Sud),47.00345,4.85347,30,40.2593
Beaune (Péage Sud),47.00345,4.85347,Chalon-sur-Saône (Gare routière),46.78099,4.84434,20,27.6228
Chalon-sur-Saône (Gare routière),46.78099,4.84434,Lyon Perrache (Central Bus Station),45.74875,4.82602,105,125.2231
Lyon Perrache (Central Bus Station),45.74875,4.82602,Grenoble (central bus station),45.19283,5.71394,95,104.4014
Grenoble (central bus station),45.19283,5.71394,Lyon Perrache (Central Bus Station),45.74875,4.82602,95,105.3058
Lyon Perrache (Central Bus Station),45.74875,4.82602,Chalon-sur-Saône (Gare routière),46.78099,4.84434,100,126.5073
Chalon-sur-Saône (Gare routière),46.78099,4.84434,Beaune (Péage Sud),47.00345,4.85347,25,26.971
Beaune (Péage Sud),47.00345,4.85347,Dijon (Université),47.30928,5.07161,30,42.4448
Grenoble (central bus station),45.19283,5.71394,Lyon Perrache (Central Bus Station),45.74875,4.82602,105,105.3058
Lyon Perrache (Central Bus Station),45.74875,4.82602,Beaune (Péage Sud),47.00345,4.85347,115,151.0466
Beaune (Péage Sud),47.00345,4.85347,Dijon (Université),47.30928,5.07161,30,42.4448
Lille,50.6392,3.0762,Paris (Bercy Seine),48.83532,2.38052,180,221.9624
Paris (Bercy Seine),48.83532,2.38052,Versailles (IC),48.80042,2.07517,30,29.7037
Versailles (IC),48.80042,2.07517,Orléans (Libération),47.91953,1.90349,90,115.4688
Orléans (Libération),47.91953,1.90349,Tours (Parking les Peupliers),47.38338,0.70235,90,121.8949
Tours (Parking les Peupliers),47.38338,0.70235,Poitiers (Central bus station),46.58451,0.33563,85,103.0882
Poitiers (Central bus station),46.58451,0.33563,Saintes,45.75549,-0.65154,130,138.2764
Saintes,45.75549,-0.65154,Poitiers (Central bus station),46.58451,0.33563,110,137.9482
Poitiers (Central bus station),46.58451,0.33563,Tours (Parking les Peupliers),47.38338,0.70235,85,103.5468
Tours (Parking les Peupliers),47.38338,0.70235,Orléans (Libération),47.91953,1.90349,90,121.4556
Orléans (Libération),47.91953,1.90349,Versailles (IC),48.80042,2.07517,90,115.147
Versailles (IC),48.80042,2.07517,Paris (Bercy Seine),48.83532,2.38052,30,28.9006
Paris (Bercy Seine),48.83532,2.38052,Lille,50.6392,3.0762,180,223.7503
Saintes,45.75549,-0.65154,Poitiers (Central bus station),46.58451,0.33563,110,137.9482
Poitiers (Central bus station),46.58451,0.33563,Tours (Parking les Peupliers),47.38338,0.70235,85,103.5468
Tours (Parking les Peupliers),47.38338,0.70235,Orléans (Libération),47.91953,1.90349,90,121.4556
Orléans (Libération),47.91953,1.90349,Versailles (IC),48.80042,2.07517,90,115.147
Versailles (IC),48.80042,2.07517,Paris (Bercy Seine),48.83532,2.38052,30,28.9006
Paris (Bercy Seine),48.83532,2.38052,Versailles (IC),48.80042,2.07517,30,29.7037
Versailles (IC),48.80042,2.07517,Orléans (Libération),47.91953,1.90349,90,115.4688
Orléans (Libération),47.91953,1.90349,Tours (Parking les Peupliers),47.38338,0.70235,90,121.8949
Tours (Parking les Peupliers),47.38338,0.70235,Poitiers (Central bus station),46.58451,0.33563,85,103.0882
Poitiers (Central bus station),46.58451,0.33563,Saintes,45.75549,-0.65154,130,138.2764
Lyon Perrache (Central Bus Station),45.74875,4.82602,Bellegarde (Péage),46.11511,5.7949,90,110.4847
Bellegarde (Péage),46.11511,5.7949,Lyon Perrache (Central Bus Station),45.74875,4.82602,85,110.2417
Paris (Bercy Seine),48.83532,2.38052,Paris (Orly Airport),48.73156,2.37358,30,16.5344
Paris (Orly Airport),48.73156,2.37358,Bordeaux Saint-Jean,44.82982,-0.55521,400,575.7751
Bordeaux Saint-Jean,44.82982,-0.55521,Bayonne (Quai de Lesseps),43.49639,-1.47402,140,189.3088
Bayonne (Quai de Lesseps),43.49639,-1.47402,Biarritz (Centre),43.47716,-1.55287,20,8.618
Biarritz (Centre),43.47716,-1.55287,Bayonne (Quai de Lesseps),43.49639,-1.47402,15,8.0387
Bayonne (Quai de Lesseps),43.49639,-1.47402,Bordeaux Saint-Jean,44.82982,-0.55521,135,189.3393
Bordeaux Saint-Jean,44.82982,-0.55521,Paris (Orly Airport),48.73156,2.37358,416,580.3904
Paris (Orly Airport),48.73156,2.37358,Paris (Bercy Seine),48.83532,2.38052,35,15.0458
Paris (Bercy Seine),48.83532,2.38052,Reims Champagne Ardenne TGV,49.21516,3.99451,110,145.1097
Reims Champagne Ardenne TGV,49.21516,3.99451,Metz (central bus station),49.11016,6.18377,135,193.0424
Metz (central bus station),49.11016,6.18377,Reims Champagne Ardenne TGV,49.21516,3.99451,170,195.2279
Reims Champagne Ardenne TGV,49.21516,3.99451,Paris (Bercy Seine),48.83532,2.38052,105,143.9124
Paris (Bercy Seine),48.83532,2.38052,Paris (Orly Airport),48.73156,2.37358,35,16.5344
Paris (Orly Airport),48.73156,2.37358,Orléans (Libération),47.91953,1.90349,90,120.6895
Orléans (Libération),47.91953,1.90349,Bourges (central bus station),47.08247,2.3867,110,124.2945
Bourges (central bus station),47.08247,2.3867,Clermont-Ferrand (bus terminal Les Salins),45.77076,3.08225,150,191.8483
Clermont-Ferrand (bus terminal Les Salins),45.77076,3.08225,Perpignan (Central Bus station),42.69502,2.87907,320,433.0712
Perpignan (Central Bus station),42.69502,2.87907,Clermont-Ferrand (bus terminal Les Salins),45.77076,3.08225,315,5.4927
Clermont-Ferrand (bus terminal Les Salins),45.77076,3.08225,Bourges (central bus station),47.08247,2.3867,140,191.4524
Bourges (central bus station),47.08247,2.3867,Orléans (Libération),47.91953,1.90349,110,124.317
Orléans (Libération),47.91953,1.90349,Paris (Orly Airport),48.73156,2.37358,90,121.3558
Paris (Orly Airport),48.73156,2.37358,Paris (Bercy Seine),48.83532,2.38052,25,15.0458
Montpellier (Sabines),43.58393,3.86023,Toulouse (Central Bus Station Pierre Sémard),43.61252,1.45261,170,239.0375
Toulouse (Central Bus Station Pierre Sémard),43.61252,1.45261,Agen (Exit A62),44.16644,0.60633,85,110.1081
Agen (Exit A62),44.16644,0.60633,Bordeaux Saint-Jean,44.82982,-0.55521,90,132.8369
Bordeaux Saint-Jean,44.82982,-0.55521,Nantes Haluchère,47.24893,-1.52081,250,358.1837
Nantes Haluchère,47.24893,-1.52081,Rennes (Central bus station),48.1039,-1.67062,95,107.4511
Rennes (Central bus station),48.1039,-1.67062,Saint-Malo (Esplanade de la Bourse),48.64613,-2.02546,65,72.3175
Saint-Malo (Esplanade de la Bourse),48.64613,-2.02546,Rennes (Central bus station),48.1039,-1.67062,70,71.986
Rennes (Central bus station),48.1039,-1.67062,Nantes Haluchère,47.24893,-1.52081,80,107.8647
Nantes Haluchère,47.24893,-1.52081,Bordeaux Saint-Jean,44.82982,-0.55521,250,356.9718
Bordeaux Saint-Jean,44.82982,-0.55521,Agen (Exit A62),44.16644,0.60633,90,134.1469
Agen (Exit A62),44.16644,0.60633,Toulouse (Central Bus Station Pierre Sémard),43.61252,1.45261,85,109.8635
Toulouse (Central Bus Station Pierre Sémard),43.61252,1.45261,Montpellier (Sabines),43.58393,3.86023,165,239.4044
Bordeaux Saint-Jean,44.82982,-0.55521,Agen (Exit A62),44.16644,0.60633,95,134.1469
Agen (Exit A62),44.16644,0.60633,Toulouse (Central Bus Station Pierre Sémard),43.61252,1.45261,85,109.8635
Toulouse (Central Bus Station Pierre Sémard),43.61252,1.45261,Narbonne (Croix Sud),43.16527,2.98845,125,149.8058
Narbonne (Croix Sud),43.16527,2.98845,Montpellier (Sabines),43.58393,3.86023,65,91.1983
Montpellier (Sabines),43.58393,3.86023,Aire de Service d'Ambrussum Sud,43.71208,4.13054,25,28.3615
Aire de Service d'Ambrussum Sud,43.71208,4.13054,Nîmes (P+R Parnasse),43.81743,4.36218,25,25.4437
Nîmes (P+R Parnasse),43.81743,4.36218,Marseille (central bus station St Charles),43.30408,5.37999,90,119.7191
Marseille (central bus station St Charles),43.30408,5.37999,Toulon (Central Bus Station),43.12779,5.93074,60,66.5979
Toulon (Central Bus Station),43.12779,5.93074,Marseille (central bus station St Charles),43.30408,5.37999,70,65.4295
Marseille (central bus station St Charles),43.30408,5.37999,Nîmes (P+R Parnasse),43.81743,4.36218,90,118.6215
Nîmes (P+R Parnasse),43.81743,4.36218,Montpellier (Sabines),43.58393,3.86023,80,53.1727
Montpellier (Sabines),43.58393,3.86023,Narbonne (Croix Sud),43.16527,2.98845,65,90.421
