point_1,point_1,point_1,point_2,point_2,point_2,duree (min),distance (km),empreinte carbone (gCO2),prix (euros)
Yvetot,49.61887,0.75476,Fécamp (Gare routière),49.75924,0.37522,35.0,34.22,2001.9,2.4
Incarville - Val de Reuil,49.23541,1.18268,Paris (Bercy Seine),48.83532,2.38052,110.0,116.406,6809.8,8.15
Incarville - Val de Reuil,49.23541,1.18268,Paris La Défense (Terminal Jules Verne),48.89147,2.24247,73.33,97.914,5728.0,6.85
Cannes (Le Cannet),43.5707,7.01485,Marseille (central bus station St Charles),43.30408,5.37999,127.5,171.461,10030.5,12.0
Saint-Étienne,45.4425,4.40286,Clermont-Ferrand (bus terminal Les Salins),45.77076,3.08225,112.5,149.162,8726.0,10.44
Dieppe (Central bus station),49.92152,1.08058,Rouen (Avenue Champlain),49.43419,1.0927,57.0,64.552,3776.3,4.52
Tours (Parking les Peupliers),47.38338,0.70235,Angers (central bus station),47.46502,-0.55917,100.0,128.95,7543.6,9.03
Nice Airport (Bus Station - Terminal 1),43.66482,7.20959,Cannes (Le Cannet),43.5707,7.01485,42.5,25.321,1481.3,1.77
Fréjus (Péage Ouest),43.45631,6.68948,Marseille (central bus station St Charles),43.30408,5.37999,95.0,133.318,7799.1,9.33
Brive-la-Gaillarde (Centre Commercial Ouest),45.14592,1.48255,Montauban (Aussone),44.04471,1.38971,95.0,139.739,8174.7,9.78
Calais (Bus Stop on Terminal Ferry),50.96679,1.86345,Paris (Bercy Seine),48.83532,2.38052,230.0,291.8,17070.3,20.43
Saintes,45.75549,-0.65154,Bordeaux Saint-Jean,44.82982,-0.55521,85.0,117.978,6901.7,8.26
Montauban (Aussone),44.04471,1.38971,Limoges (central bus station),45.8359,1.26835,155.0,232.481,13600.1,16.27
Limoges (central bus station),45.8359,1.26835,Orléans (Libération),47.91953,1.90349,192.5,270.28,15811.4,18.92
Toulouse (Blagnac Airport),43.63044,1.3745,Toulouse (Central Bus Station Pierre Sémard),43.61252,1.45261,20.0,4.506,263.6,0.32
Toulouse (Central Bus Station Pierre Sémard),43.61252,1.45261,Cahors,44.45141,1.43959,85.0,113.557,6643.1,7.95
Cahors,44.45141,1.43959,Brive-la-Gaillarde (Centre Commercial Ouest),45.14592,1.48255,73.0,94.359,5520.0,6.61
Brive-la-Gaillarde (Centre Commercial Ouest),45.14592,1.48255,Limoges (central bus station),45.8359,1.26835,72.5,93.793,5486.9,6.57
Limoges (central bus station),45.8359,1.26835,Paris (Orly Airport),48.73156,2.37358,280.0,384.99,22521.9,26.95
Dijon (Université),47.30928,5.07161,Beaune (Péage Sud),47.00345,4.85347,30.0,40.259,2355.2,2.82
Lyon Perrache (Central Bus Station),45.74875,4.82602,Beaune (Péage Sud),47.00345,4.85347,115.0,151.047,8836.2,10.57
Paris (Orly Airport),48.73156,2.37358,Bordeaux Saint-Jean,44.82982,-0.55521,408.0,575.775,33682.8,40.3
Bayonne (Quai de Lesseps),43.49639,-1.47402,Biarritz (Centre),43.47716,-1.55287,17.5,8.618,504.2,0.6
Paris (Orly Airport),48.73156,2.37358,Orléans (Libération),47.91953,1.90349,90.0,120.69,7060.4,8.45
Orléans (Libération),47.91953,1.90349,Bourges (central bus station),47.08247,2.3867,110.0,124.294,7271.2,8.7
Clermont-Ferrand (bus terminal Les Salins),45.77076,3.08225,Perpignan (Central Bus station),42.69502,2.87907,317.5,433.071,25334.7,30.31
Bordeaux Saint-Jean,44.82982,-0.55521,Nantes Haluchère,47.24893,-1.52081,250.0,358.184,20953.8,25.07
Rennes (Central bus station),48.1039,-1.67062,Saint-Malo (Esplanade de la Bourse),48.64613,-2.02546,67.5,72.318,4230.6,5.06
Montpellier (Sabines),43.58393,3.86023,Aire de Service d'Ambrussum Sud,43.71208,4.13054,25.0,28.362,1659.2,1.99
Aire de Service d'Ambrussum Sud,43.71208,4.13054,Nîmes (P+R Parnasse),43.81743,4.36218,25.0,25.444,1488.5,1.78
Nîmes (P+R Parnasse),43.81743,4.36218,Marseille (central bus station St Charles),43.30408,5.37999,90.0,119.719,7003.6,8.38
Paris (Bercy Seine),48.83532,2.38052,Poitiers Futuroscope (Gare TGV),46.66958,0.37564,245.0,327.965,19186.0,22.96
Poitiers Futuroscope (Gare TGV),46.66958,0.37564,Bordeaux Saint-Jean,44.82982,-0.55521,205.0,260.783,15255.8,18.25
Brest,48.38771,-4.48221,Quimper (Central bus station),47.99469,-4.09378,62.5,73.331,4289.9,5.13
Paris (Orly Airport),48.73156,2.37358,Le Mans,48.01747,0.14949,150.0,200.169,11709.9,14.01
Nantes Haluchère,47.24893,-1.52081,La Roche sur Yon,46.67306,-1.43512,60.0,75.218,4400.3,5.27
La Roche sur Yon,46.67306,-1.43512,La Rochelle (Bus Station),46.16225,-1.15415,87.5,84.512,4944.0,5.92
La Rochelle (Bus Station),46.16225,-1.15415,Rochefort,45.94704,-0.96317,30.0,38.05,2225.9,2.66
Cannes (Le Cannet),43.5707,7.01485,Aix-en-Provence (Parking Krypton),43.51099,5.44762,115.0,149.247,8730.9,10.45
Aix-en-Provence (Parking Krypton),43.51099,5.44762,Nîmes (P+R Parnasse),43.81743,4.36218,87.5,102.673,6006.4,7.19
Perpignan (Central Bus station),42.69502,2.87907,Toulouse (Central Bus Station Pierre Sémard),43.61252,1.45261,195.0,207.0,12109.5,14.49
Strasbourg,48.57418,7.75427,Mulhouse (bus station),47.74208,7.34194,90.0,115.723,6769.8,8.1
La Roche Sur Foron,46.06715,6.3127,Annecy (Gare Routière Sud),45.9017,6.12168,30.0,36.909,2159.2,2.58
Annecy (Gare Routière Sud),45.9017,6.12168,Chambéry (Place de la Gare),45.57058,5.91973,30.0,49.37,2888.1,3.46
Chambéry (Place de la Gare),45.57058,5.91973,Grenoble (Eurolines),45.19272,5.7143,45.0,59.061,3455.1,4.13
Grenoble (Eurolines),45.19272,5.7143,Lyon Perrache (Eurolines),45.74916,4.82632,80.0,105.174,6152.7,7.36
Montpellier (Sabines),43.58393,3.86023,Béziers (de Gaulle),43.34534,3.21799,60.0,66.162,3870.5,4.63
Béziers (de Gaulle),43.34534,3.21799,Narbonne (Central bus station),43.18833,3.00335,32.5,27.262,1594.8,1.91
Narbonne (Central bus station),43.18833,3.00335,Toulouse (Central Bus Station Pierre Sémard),43.61252,1.45261,110.0,152.876,8943.2,10.7
Paris (Bercy Seine),48.83532,2.38052,Paris (Pont de Sèvres),48.82971,2.22978,47.5,15.398,900.8,1.08
Paris (Pont de Sèvres),48.82971,2.22978,Angers (central bus station),47.46502,-0.55917,240.0,288.464,16875.1,20.19
Montpellier (Sabines),43.58393,3.86023,Avignon (Le Pontet),43.96063,4.85594,84.5,100.298,5867.4,7.02
Avignon (Le Pontet),43.96063,4.85594,Besançon,47.24691,6.0226,330.0,474.975,27786.0,33.25
Besançon,47.24691,6.0226,Mulhouse (bus station),47.74208,7.34194,97.5,139.387,8154.1,9.76
Paris La Défense (Terminal Jules Verne),48.89147,2.24247,Paris Porte de Saint Ouen,48.90109,2.3318,20.0,10.987,642.7,0.77
Le Havre (central bus station),49.49224,0.12615,Paris (Bercy Seine),48.83532,2.38052,190.0,205.484,12020.8,14.38
Pau,43.31899,-0.3621,Tarbes,43.22999,0.08026,44.5,42.968,2513.6,3.01
Tarbes,43.22999,0.08026,Toulouse (Central Bus Station Pierre Sémard),43.61252,1.45261,120.0,156.674,9165.4,10.97
Carcassonne,43.21546,2.34779,Narbonne (Central bus station),43.18833,3.00335,50.0,69.314,4054.9,4.85
Narbonne (Central bus station),43.18833,3.00335,Montpellier (Sabines),43.58393,3.86023,75.0,92.31,5400.1,6.46
Toulon (Central Bus Station),43.12779,5.93074,Puget-sur-Argens,43.45696,6.68937,65.0,85.1,4978.3,5.96
Puget-sur-Argens,43.45696,6.68937,Cannes (Le Cannet),43.5707,7.01485,32.5,38.351,2243.5,2.68
Hendaye,43.35113,-1.78327,Bordeaux Saint-Jean,44.82982,-0.55521,152.5,222.184,12997.8,15.55
Montpellier (Sabines),43.58393,3.86023,Lyon Perrache (Central Bus Station),45.74875,4.82602,220.0,302.803,17714.0,21.2
Grenoble (central bus station),45.19283,5.71394,Voiron (Champfeuillet),45.34993,5.56773,25.0,23.754,1389.6,1.66
Voiron (Champfeuillet),45.34993,5.56773,Lyon Perrache (Central Bus Station),45.74875,4.82602,65.0,83.007,4855.9,5.81
Paris Pont de Levallois,48.89774,2.28125,Rouen (Avenue Champlain),49.43419,1.0927,95.0,126.274,7387.0,8.84
Lons-le-Saunier Autocar Transarc Credoz,46.69305,5.55781,Dijon (bus station),47.32353,5.0279,80.0,96.208,5628.2,6.73
Lille,50.6392,3.0762,Compiègne Sud (Verberie Parking PL),49.32154,2.69752,110.0,157.391,9207.4,11.02
Paris (Orly Airport),48.73156,2.37358,Rennes (Central bus station),48.1039,-1.67062,257.5,338.471,19800.6,23.69
Lorient (central bus station),47.75536,-3.36449,Concarneau Nord,47.922,-3.90163,37.5,49.872,2917.5,3.49
Concarneau Nord,47.922,-3.90163,Quimper (Central bus station),47.99469,-4.09378,20.0,20.529,1200.9,1.44
Paris La Défense (Terminal Jules Verne),48.89147,2.24247,Honfleur (Central Bus Station),49.4188,0.23838,140.0,188.115,11004.7,13.17
Honfleur (Central Bus Station),49.4188,0.23838,Deauville (Train Station),49.35927,0.08389,25.0,15.756,921.7,1.1
Deauville (Train Station),49.35927,0.08389,Cabourg,49.29418,-0.10658,37.5,25.703,1503.6,1.8
Marseille (central bus station St Charles),43.30408,5.37999,Avignon (Central Bus Station),43.94213,4.80773,90.0,96.02,5617.2,6.72
Avignon (Central Bus Station),43.94213,4.80773,Montpellier (Sabines),43.58393,3.86023,55.0,95.888,5609.4,6.71
Le Mans,48.01747,0.14949,Paris Pont de Levallois,48.89774,2.28125,155.0,211.875,12394.7,14.83
Paris Pont de Levallois,48.89774,2.28125,Paris Charles de Gaulle (Central Bus Station - Terminal 3),49.01067,2.55926,40.0,27.225,1592.7,1.91
Fréjus (Péage Ouest),43.45631,6.68948,Aix-en-Provence (Parking Krypton),43.51099,5.44762,80.0,111.104,6499.6,7.78
Aix-en-Provence (Parking Krypton),43.51099,5.44762,Valence France (Central bus station),44.92691,4.89239,190.0,196.374,11487.9,13.75
Lorient (central bus station),47.75536,-3.36449,Rennes (Central bus station),48.1039,-1.67062,120.0,150.287,8791.8,10.52
Forbach (central bus station),49.18872,6.90009,Metz (central bus station),49.11016,6.18377,55.0,57.645,3372.2,4.04
Metz (central bus station),49.11016,6.18377,Paris (Bercy Seine),48.83532,2.38052,270.0,330.918,19358.7,23.16
Tours (Parking les Peupliers),47.38338,0.70235,Bourges (central bus station),47.08247,2.3867,157.5,163.282,9552.0,11.43
Orléans (Libération),47.91953,1.90349,Étampes,48.43366,2.17208,60.0,70.143,4103.4,4.91
Tours (Parking les Peupliers),47.38338,0.70235,Étampes,48.43366,2.17208,160.0,179.952,10527.2,12.6
Dijon (bus station),47.32353,5.0279,Langres (North Tollgate),47.93602,5.28728,77.5,86.1,5036.8,6.03
Langres (North Tollgate),47.93602,5.28728,Nancy,48.69483,6.19047,95.0,139.141,8139.7,9.74
Avignon (Le Pontet),43.96063,4.85594,Fréjus (Péage Ouest),43.45631,6.68948,147.5,191.65,11211.5,13.42
Fréjus (Péage Ouest),43.45631,6.68948,Antibes (Pôle d'échanges),43.58636,7.11893,40.0,47.683,2789.5,3.34
Antibes (Pôle d'échanges),43.58636,7.11893,Nice Airport (Bus Station - Terminal 2),43.66021,7.20486,30.0,14.479,847.0,1.01
Belfort,47.6297,6.85617,Montbéliard (Exchange Terminal Montbéliard Acropole),47.5089,6.80187,15.0,19.496,1140.5,1.36
Montbéliard (Exchange Terminal Montbéliard Acropole),47.5089,6.80187,Besançon,47.24691,6.0226,62.5,81.677,4778.1,5.72
Besançon,47.24691,6.0226,Dijon (bus station),47.32353,5.0279,82.5,97.465,5701.7,6.82
Clermont-Ferrand (bus terminal Les Salins),45.77076,3.08225,Clermont-Ferrand (Campus des Cézeaux),45.76416,3.1126,12.5,5.388,315.2,0.38
Clermont-Ferrand (Campus des Cézeaux),45.76416,3.1126,Bourges (central bus station),47.08247,2.3867,132.5,189.085,11061.5,13.24
Bourges (central bus station),47.08247,2.3867,Paris - Massy-Palaiseau (Bus station Vilmorin),48.72606,2.25714,155.0,228.004,13338.2,15.96
Paris (Bercy Seine),48.83532,2.38052,Laval (Bus Station),48.07614,-0.75964,210.0,277.375,16226.4,19.42
Laval (Bus Station),48.07614,-0.75964,Rennes (Central bus station),48.1039,-1.67062,60.0,78.711,4604.6,5.51
Montpellier (Sabines),43.58393,3.86023,Marseille Airport (Bus Station),43.44318,5.22045,112.5,150.321,8793.8,10.52
Marseille Airport (Bus Station),43.44318,5.22045,Marseille (central bus station St Charles),43.30408,5.37999,30.0,25.84,1511.6,1.81
Paris (Bercy Seine),48.83532,2.38052,Nantes Haluchère,47.24893,-1.52081,295.0,374.953,21934.8,26.25
Strasbourg,48.57418,7.75427,Paris (Bercy Seine),48.83532,2.38052,337.5,488.409,28571.9,34.19
Paris La Défense (Terminal Jules Verne),48.89147,2.24247,Caen (central bus station),49.17649,-0.34679,160.0,224.84,13153.1,15.74
Caen (central bus station),49.17649,-0.34679,Paris Pont de Levallois,48.89774,2.28125,167.5,228.736,13381.1,16.01
Lyon Perrache (Central Bus Station),45.74875,4.82602,Saint-Étienne,45.4425,4.40286,62.5,58.979,3450.3,4.13
Toulouse (Central Bus Station Pierre Sémard),43.61252,1.45261,Marseille (central bus station St Charles),43.30408,5.37999,302.5,405.389,23715.3,28.38
Toulon (Central Bus Station),43.12779,5.93074,Nice Airport (Bus Station - Terminal 1),43.66482,7.20959,117.5,143.0,8365.5,10.01
Valence France (Central bus station),44.92691,4.89239,Marseille (central bus station St Charles),43.30408,5.37999,155.0,212.849,12451.7,14.9
Tulle (Péage Nord),45.32849,1.76515,Clermont-Ferrand (bus terminal Les Salins),45.77076,3.08225,117.5,141.011,8249.1,9.87
Saint-Étienne,45.4425,4.40286,Givors (South Lyon),45.59105,4.77193,35.0,37.148,2173.2,2.6
Givors (South Lyon),45.59105,4.77193,Lyon Perrache (Central Bus Station),45.74875,4.82602,20.0,23.717,1387.4,1.66
Dunkerque,51.03119,2.36896,Lille,50.6392,3.0762,60.0,82.963,4853.3,5.81
Calais (Bus Stop on Terminal Ferry),50.96679,1.86345,Lille,50.6392,3.0762,90.0,116.484,6814.3,8.15
Marseille (central bus station St Charles),43.30408,5.37999,Avignon (Le Pontet),43.96063,4.85594,77.5,98.585,5767.2,6.9
